Vp=4.229468,Vs=4.229468
Vp=4.282842,Vs=4.282842
Vp=4.395714,Vs=4.395714
Vp=4.544051,Vs=4.544051
Vp=4.178775,Vs=4.178775
Vp=4.261780,Vs=4.261780
Vp=4.147650,Vs=4.147650
Vp=4.127272,Vs=4.127272
Vp=4.945839,Vs=4.945839
Vp=4.988882,Vs=4.988882
Vp=5.079222,Vs=5.079222
Vp=4.902816,Vs=4.902816
Vp=4.876704,Vs=4.876704
Vp=5.434057,Vs=5.434057
Vp=5.399377,Vs=5.399377
Vp=5.760435,Vs=5.760435
Vp=4.552271,Vs=4.552271
Vp=4.573720,Vs=4.573720
Vp=4.796675,Vs=4.796675
Vp=4.748978,Vs=4.748978
Vp=5.065416,Vs=5.065416
Vp=5.119220,Vs=5.119220
Vp=5.217064,Vs=5.217064
Vp=5.026931,Vs=5.026931
Vp=5.003776,Vs=5.003776
Vp=5.499365,Vs=5.499365
Vp=5.468592,Vs=5.468592
Vp=5.774808,Vs=5.774808
Vp=5.196783,Vs=5.196783
Vp=5.160368,Vs=5.160368
Vp=5.536999,Vs=5.536999
Vp=5.539174,Vs=5.539174
Vp=5.511806,Vs=5.511806
